SCRIP,NAME,SECTOR
RELIANCE,Reliance Industries Ltd.,Refineries
TCS,Tata Consultancy Services Ltd.,IT - Software
HDFCBANK,HDFC Bank Ltd.,Bank - Private
INFY,Infosys Ltd.,IT - Software
ICICIBANK,ICICI Bank Ltd.,Bank - Private
HINDUNILVR,Hindustan Unilever Ltd.,Household &amp; Personal Products
HDFC,Housing Development Finance Corporation Ltd.,Finance - Housing
SBIN,State Bank Of India,Bank - Public
BAJFINANCE,Bajaj Finance Ltd.,Finance - NBFC
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication - Service  Provider
ABB,ABB India Ltd.,Electric Equipment
AEGISCHEM,Aegis Logistics Ltd.,Logistics
AMARAJABAT,Amara Raja Batteries Ltd.,Batteries
AMBASARABH,Ambalal Sarabhai Enterprises Ltd.,Pharmaceuticals &amp; Drugs
HDFC,Housing Development Finance Corporation Ltd.,Finance - Housing
ANDHRAPET,Andhra Petrochemicals Ltd.,Chemicals
ANSALAPI,Ansal Properties &amp; Infrastructure Ltd.,Construction - Real Estate
APPLEIND,Utique Enterprises Ltd.,Finance - Investment
ARUNASUGAR,Aruna Hotels Ltd.,Hotel
BOMDYEING,Bombay Dyeing And Manufacturing Company Ltd.,Textile
ASIANHOTNR,Asian Hotels (North) Ltd.,Hotel
ATUL,Atul Ltd.,Chemicals
ATVPROJ,ATV Projects India Ltd.,Engineering - Industrial Equipments
BAJAJELEC,Bajaj Electricals Ltd.,Consumer Durables - Domestic Appliances
BAJAJHIND,Bajaj Hindusthan Sugar Ltd.,Sugar
FORCEMOT,Force Motors Ltd.,Automobiles-Trucks-Lcv
BAJFINANCE,Bajaj Finance Ltd.,Finance - NBFC
BALRAMCHIN,Balrampur Chini Mills Ltd.,Sugar
BANCOINDIA,Banco Products (India) Ltd.,Auto Ancillary
CENTURYTEX,Century Textiles &amp; Industries Ltd.,Diversified
BANARISUG,Bannari Amman Sugars Ltd.,Sugar
BASF,BASF India Ltd.,Pesticides &amp; Agrochemicals
BATAINDIA,Bata India Ltd.,Retailing
BEML,BEML Ltd.,Engineering - Industrial Equipments
BEL,Bharat Electronics Ltd.,Engineering - Industrial Equipments
BEPL,Bhansali Engineering Polymers Ltd.,Chemicals
TATASTLBSL,Tata Steel BSL Ltd.,Steel &amp; Iron Products
BIHARSPONG,Bihar Sponge Iron Ltd.,Steel-Sponge Iron-Pig Iron
BIRLACABLE,Birla Cable Ltd.,Cable
BLUESTARCO,Blue Star Ltd.,Air Conditioners
GEORGFISCH,Disa India Ltd.,Engineering - Industrial Equipments
500069,BNK Capital Markets Ltd.,Finance - NBFC
BPL,BPL Ltd.,Electronics - Components
OAL,Oriental Aromatics Ltd.,Chemicals
CENTEXT,Century Extrusions Ltd.,Aluminium &amp; Aluminium Products
CESC,CESC Ltd.,Power Generation-Distribution
CHAMBLFERT,Chambal Fertilisers and Chemicals Ltd.,Fertilizers
EXIDEIND,Exide Industries Ltd.,Batteries
CIPLA,Cipla Ltd.,Pharmaceuticals &amp; Drugs
DICIND,DIC India Ltd.,Chemicals
CRISIL,CRISIL Ltd.,Ratings
CGPOWER,CG Power and Industrial Solutions Ltd.,Electric Equipment
DABUR,Dabur India Ltd.,Household &amp; Personal Products
DALMIASUG,Dalmia Bharat Sugar And Industries Ltd.,Sugar
ARVIND,Arvind Ltd.,Textile
BALLARPUR,Ballarpur Industries Ltd.,Paper &amp; Paper Products
BHEL,Bharat Heavy Electricals Ltd.,Engineering - Industrial Equipments
