NAME,SECTOR,SCRIP
Reliance Industries Ltd.,Refineries,RELIANCE
Tata Consultancy Services Ltd.,IT - Software,TCS
HDFC Bank Ltd.,Bank - Private,HDFCBANK
Infosys Ltd.,IT - Software,INFY
ICICI Bank Ltd.,Bank - Private,ICICIBANK
Hindustan Unilever Ltd.,Household &amp; Personal Products,HINDUNILVR
Housing Development Finance Corporation Ltd.,Finance - Housing,HDFC
State Bank Of India,Bank - Public,SBIN
Bajaj Finance Ltd.,Finance - NBFC,BAJFINANCE
Bharti Airtel Ltd.,Telecommunication - Service  Provider,BHARTIARTL
ABB India Ltd.,Electric Equipment,ABB
Aegis Logistics Ltd.,Logistics,AEGISCHEM
Amara Raja Batteries Ltd.,Batteries,AMARAJABAT
Ambalal Sarabhai Enterprises Ltd.,Pharmaceuticals &amp; Drugs,AMBASARABH
Housing Development Finance Corporation Ltd.,Finance - Housing,HDFC
Andhra Petrochemicals Ltd.,Chemicals,ANDHRAPET
Ansal Properties &amp; Infrastructure Ltd.,Construction - Real Estate,ANSALAPI
Utique Enterprises Ltd.,Finance - Investment,APPLEIND
Aruna Hotels Ltd.,Hotel,ARUNASUGAR
Bombay Dyeing And Manufacturing Company Ltd.,Textile,BOMDYEING
Asian Hotels (North) Ltd.,Hotel,ASIANHOTNR
Atul Ltd.,Chemicals,ATUL
ATV Projects India Ltd.,Engineering - Industrial Equipments,ATVPROJ
Bajaj Electricals Ltd.,Consumer Durables - Domestic Appliances,BAJAJELEC
Bajaj Hindusthan Sugar Ltd.,Sugar,BAJAJHIND
Force Motors Ltd.,Automobiles-Trucks-Lcv,FORCEMOT
Bajaj Finance Ltd.,Finance - NBFC,BAJFINANCE
Balrampur Chini Mills Ltd.,Sugar,BALRAMCHIN
Banco Products (India) Ltd.,Auto Ancillary,BANCOINDIA
Century Textiles &amp; Industries Ltd.,Diversified,CENTURYTEX
Bannari Amman Sugars Ltd.,Sugar,BANARISUG
BASF India Ltd.,Pesticides &amp; Agrochemicals,BASF
Bata India Ltd.,Retailing,BATAINDIA
BEML Ltd.,Engineering - Industrial Equipments,BEML
Bharat Electronics Ltd.,Engineering - Industrial Equipments,BEL
Bhansali Engineering Polymers Ltd.,Chemicals,BEPL
Tata Steel BSL Ltd.,Steel &amp; Iron Products,TATASTLBSL
Bihar Sponge Iron Ltd.,Steel-Sponge Iron-Pig Iron,BIHARSPONG
Birla Cable Ltd.,Cable,BIRLACABLE
Blue Star Ltd.,Air Conditioners,BLUESTARCO
Disa India Ltd.,Engineering - Industrial Equipments,GEORGFISCH
BNK Capital Markets Ltd.,Finance - NBFC,500069
BPL Ltd.,Electronics - Components,BPL
Oriental Aromatics Ltd.,Chemicals,OAL
